,unit,year,value,value_name,location_name,location_type
288,%,2021,55.1,Recycling rate,Slovenia,country
289,%,2012,68.1,Recycling rate,Slovakia,country
290,%,2013,65.9,Recycling rate,Slovakia,country
291,%,2014,65.4,Recycling rate,Slovakia,country
292,%,2015,64.3,Recycling rate,Slovakia,country
293,%,2016,65.8,Recycling rate,Slovakia,country
294,%,2017,65.7,Recycling rate,Slovakia,country
295,%,2018,66.6,Recycling rate,Slovakia,country
296,%,2019,67.5,Recycling rate,Slovakia,country
297,%,2020,70.8,Recycling rate,Slovakia,country
298,%,2012,61.4,Recycling rate,United Kingdom,country
299,%,2013,64.6,Recycling rate,United Kingdom,country
300,%,2014,59.2,Recycling rate,United Kingdom,country
301,%,2015,60.6,Recycling rate,United Kingdom,country
302,%,2016,64.7,Recycling rate,United Kingdom,country
303,%,2017,63.9,Recycling rate,United Kingdom,country
304,%,2018,62.1,Recycling rate,United Kingdom,country
305,%,2019,63.4,Recycling rate,United Kingdom,country
306,%,2020,66.3,Recycling rate,United Kingdom,country
307,%,2021,65.7,Recycling rate,United Kingdom,country
308,%,2012,34.7,Recycling rate,Austria,country
309,%,2013,34.4,Recycling rate,Austria,country
310,%,2014,33.6,Recycling rate,Austria,country
311,%,2015,33.6,Recycling rate,Austria,country
312,%,2016,33.6,Recycling rate,Austria,country
313,%,2017,33.4,Recycling rate,Austria,country
314,%,2018,31.9,Recycling rate,Austria,country
315,%,2019,30.8,Recycling rate,Austria,country
316,%,2020,31.6,Recycling rate,Austria,country
317,%,2021,30.7,Recycling rate,Austria,country
318,%,2012,41.5,Recycling rate,Belgium,country
319,%,2013,39.0,Recycling rate,Belgium,country
320,%,2014,41.8,Recycling rate,Belgium,country
321,%,2015,42.6,Recycling rate,Belgium,country
322,%,2016,43.4,Recycling rate,Belgium,country
323,%,2017,44.5,Recycling rate,Belgium,country
324,%,2018,42.4,Recycling rate,Belgium,country
325,%,2019,47.3,Recycling rate,Belgium,country
326,%,2020,44.7,Recycling rate,Belgium,country
327,%,2021,49.2,Recycling rate,Belgium,country
328,%,2012,40.7,Recycling rate,Bulgaria,country
329,%,2013,41.3,Recycling rate,Bulgaria,country
330,%,2014,64.1,Recycling rate,Bulgaria,country
331,%,2015,60.8,Recycling rate,Bulgaria,country
332,%,2016,52.6,Recycling rate,Bulgaria,country
333,%,2017,64.8,Recycling rate,Bulgaria,country
334,%,2018,59.2,Recycling rate,Bulgaria,country
335,%,2019,50.6,Recycling rate,Bulgaria,country
336,%,2012,44.8,Recycling rate,Cyprus,country
337,%,2013,45.3,Recycling rate,Cyprus,country
338,%,2014,46.6,Recycling rate,Cyprus,country
339,%,2015,63.7,Recycling rate,Cyprus,country
340,%,2016,62.3,Recycling rate,Cyprus,country
341,%,2017,65.0,Recycling rate,Cyprus,country
342,%,2018,54.3,Recycling rate,Cyprus,country
343,%,2019,50.5,Recycling rate,Cyprus,country
344,%,2020,48.6,Recycling rate,Cyprus,country
345,%,2021,41.6,Recycling rate,Cyprus,country
346,%,2012,58.2,Recycling rate,Czech Republic,country
347,%,2013,59.7,Recycling rate,Czech Republic,country
348,%,2014,58.2,Recycling rate,Czech Republic,country
349,%,2015,61.7,Recycling rate,Czech Republic,country
350,%,2016,59.2,Recycling rate,Czech Republic,country
351,%,2017,58.6,Recycling rate,Czech Republic,country
352,%,2018,57.0,Recycling rate,Czech Republic,country
353,%,2019,61.0,Recycling rate,Czech Republic,country
354,%,2020,41.8,Recycling rate,Czech Republic,country
355,%,2021,45.1,Recycling rate,Czech Republic,country
356,%,2012,47.0,Recycling rate,Germany,country
357,%,2013,46.8,Recycling rate,Germany,country
358,%,2014,47.3,Recycling rate,Germany,country
359,%,2015,47.4,Recycling rate,Germany,country
360,%,2016,48.4,Recycling rate,Germany,country
361,%,2017,48.0,Recycling rate,Germany,country
362,%,2018,46.4,Recycling rate,Germany,country
363,%,2019,43.3,Recycling rate,Germany,country
364,%,2020,46.2,Recycling rate,Germany,country
365,%,2021,48.4,Recycling rate,Germany,country
366,%,2012,25.9,Recycling rate,Denmark,country
367,%,2013,29.1,Recycling rate,Denmark,country
368,%,2014,30.7,Recycling rate,Denmark,country
369,%,2015,30.5,Recycling rate,Denmark,country
370,%,2016,36.1,Recycling rate,Denmark,country
371,%,2017,41.8,Recycling rate,Denmark,country
372,%,2018,31.3,Recycling rate,Denmark,country
373,%,2019,37.4,Recycling rate,Denmark,country
374,%,2020,22.9,Recycling rate,Denmark,country
375,%,2012,29.8,Recycling rate,Estonia,country
376,%,2013,28.1,Recycling rate,Estonia,country
377,%,2014,29.3,Recycling rate,Estonia,country
378,%,2015,27.8,Recycling rate,Estonia,country
379,%,2016,24.6,Recycling rate,Estonia,country
380,%,2017,26.5,Recycling rate,Estonia,country
381,%,2018,37.7,Recycling rate,Estonia,country
382,%,2019,40.6,Recycling rate,Estonia,country
383,%,2020,40.9,Recycling rate,Estonia,country
384,%,2021,42.5,Recycling rate,Estonia,country
385,%,2012,32.2,Recycling rate,Greece,country
386,%,2013,32.3,Recycling rate,Greece,country
387,%,2014,32.8,Recycling rate,Greece,country
388,%,2015,36.8,Recycling rate,Greece,country
389,%,2016,38.2,Recycling rate,Greece,country
390,%,2017,41.4,Recycling rate,Greece,country
391,%,2018,39.8,Recycling rate,Greece,country
392,%,2019,37.6,Recycling rate,Greece,country
393,%,2012,35.1,Recycling rate,Spain,country
394,%,2013,40.7,Recycling rate,Spain,country
395,%,2014,42.5,Recycling rate,Spain,country
396,%,2015,44.0,Recycling rate,Spain,country
397,%,2016,45.5,Recycling rate,Spain,country
398,%,2017,47.9,Recycling rate,Spain,country
399,%,2018,50.7,Recycling rate,Spain,country
400,%,2019,51.5,Recycling rate,Spain,country
401,%,2020,51.4,Recycling rate,Spain,country
402,%,2021,56.4,Recycling rate,Spain,country
403,%,2012,37.0,Recycling rate,European Union (27),country
404,%,2013,37.5,Recycling rate,European Union (27),country
405,%,2014,39.0,Recycling rate,European Union (27),country
406,%,2015,40.5,Recycling rate,European Union (27),country
407,%,2016,42.4,Recycling rate,European Union (27),country
408,%,2017,41.7,Recycling rate,European Union (27),country
409,%,2018,41.4,Recycling rate,European Union (27),country
410,%,2019,41.1,Recycling rate,European Union (27),country
411,%,2020,37.6,Recycling rate,European Union (27),country
412,%,2021,39.7,Recycling rate,European Union (27),country
413,%,2012,25.4,Recycling rate,Finland,country
414,%,2013,22.7,Recycling rate,Finland,country
415,%,2014,24.6,Recycling rate,Finland,country
416,%,2015,23.7,Recycling rate,Finland,country
417,%,2016,25.4,Recycling rate,Finland,country
418,%,2017,26.5,Recycling rate,Finland,country
419,%,2018,31.1,Recycling rate,Finland,country
420,%,2019,42.0,Recycling rate,Finland,country
421,%,2020,39.4,Recycling rate,Finland,country
422,%,2021,42.9,Recycling rate,Finland,country
423,%,2012,25.1,Recycling rate,France,country
424,%,2013,25.6,Recycling rate,France,country
425,%,2014,25.2,Recycling rate,France,country
426,%,2015,25.5,Recycling rate,France,country
427,%,2016,25.8,Recycling rate,France,country
428,%,2017,26.5,Recycling rate,France,country
429,%,2018,26.9,Recycling rate,France,country
430,%,2019,26.9,Recycling rate,France,country
431,%,2020,21.4,Recycling rate,France,country
432,%,2021,23.1,Recycling rate,France,country
433,%,2012,45.4,Recycling rate,Croatia,country
434,%,2013,45.3,Recycling rate,Croatia,country
435,%,2014,37.7,Recycling rate,Croatia,country
436,%,2015,46.3,Recycling rate,Croatia,country
437,%,2016,41.1,Recycling rate,Croatia,country
438,%,2017,37.3,Recycling rate,Croatia,country
439,%,2018,37.3,Recycling rate,Croatia,country
440,%,2019,35.7,Recycling rate,Croatia,country
441,%,2020,34.1,Recycling rate,Croatia,country
442,%,2021,34.2,Recycling rate,Croatia,country
443,%,2012,27.8,Recycling rate,Hungary,country
444,%,2013,30.8,Recycling rate,Hungary,country
445,%,2014,36.8,Recycling rate,Hungary,country
446,%,2015,27.4,Recycling rate,Hungary,country
447,%,2016,31.4,Recycling rate,Hungary,country
448,%,2017,32.0,Recycling rate,Hungary,country
449,%,2018,30.0,Recycling rate,Hungary,country
450,%,2019,33.0,Recycling rate,Hungary,country
451,%,2020,24.9,Recycling rate,Hungary,country
