DATAFLOW,freq,unit,hazard,wst_oper,waste_cat,country_code,year,value,OBS_FLAG
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,NO,2006,9729.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,NO,2008,45227.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,NO,2010,25551.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,NO,2012,84606.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,NO,2014,48298.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,NO,2016,56637.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,NO,2018,51143.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,NO,2020,41000.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,PL,2004,66303.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,PL,2006,103648.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,PL,2008,138859.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,PL,2010,145489.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,PL,2012,142805.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,PL,2014,135443.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,PL,2016,155729.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,PL,2018,194741.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,PL,2020,164955.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,PT,2004,6611.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,PT,2006,28159.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,PT,2008,4849.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,PT,2010,12418.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,PT,2012,14527.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,PT,2014,16379.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,PT,2016,17464.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,PT,2018,23582.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,PT,2020,26926.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,RO,2004,400.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,RO,2006,1070.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,RO,2008,31505.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,RO,2010,15662.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,RO,2012,136245.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,RO,2014,32456.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,RO,2016,26472.0,
